comment_id,text
UgyaAHDgTpyEfLrHYqZ4AaABAg,Petition for his voice to become a phone assistant
UgwKJWgP0dbYqxmEHSR4AaABAg,"Someone: starts doing gang/naruto signs

Facetime: moves them to the top"
Ugz1lRXBADlq8GRlMbt4AaABAg,Best breakdown so far. Everyone else is just reiterating the details from the reveal.
Ugz0tJAXnVM0hDg9yS14AaABAg,YouTube is getting really comfortable with these double unskippable ads
UgxkQjDjBr46aUowEwp4AaABAg,"Whenever he says ""I've been using this for around..."" I expect him to say 2 weeks"
UgyLGmDziQPAAr346714AaABAg,"""I've had this for about a day now...""

I expected at least a week, Marques."
UgwcfCnIBD1y2aR-Iat4AaABAg,"Make a shirt that says ""so I have had this shirt for about a week now here are my thoughts"""
UgzQB5WpGg1N4yUCHeZ4AaABAg,"Android users: Wait I’ve seen this before. 
iOS users: what are you talking about. This is brand New."
UgxarxOCgGUFy6WbkY94AaABAg,"Now I don’t have to lie and say “I missed your call” when I was waiting for it to end

I can actually ignore you now"
UgxMcB7NurdGMuhRj6B4AaABAg,"Me in Facetime calls making gangsigns.

Apple: Ah this helpful soul is translating in sign language"
Ugyrz0rd4eGXMQSeN5x4AaABAg,The “incoming call” not taking up the entire screen is going to be useful!!!
Ugzpjwjk-yDzNfS3haF4AaABAg,Phone hella dry so I’m just playing this update like a game
UgyWIdSVfpO0qPvpIGR4AaABAg,"When you mentioned the hearing accessibility feature, I literally screamed! As a deaf person, I never hear things like the tap, the doorbell, the cat at the door etc. so I’m incredibly intrigued to see how well this feature works, because if it’s good, it will literally change my life!                 ETA: For those wondering, I use subtitles along with my hearing implants to hear what is said in videos. And rely on lip reading and the implants in everyday life. Just because I use assistive technology, doesn’t mean I am not deaf, because without this technology I would struggle to hear an air horn next to my head, and even with it, I still rely partially on lip reading to understand what is being said."
UgyUs3hjgbWvcogxZ094AaABAg,"Can hide home pages 
Kids with strict parents: hell yeah"
UgyEjS9d9rNGNwQ7a0d4AaABAg,Asking Siri to open google assistant is like asking dominos for Pizza Hut’s number.
Ugy-TPANZuRikEHdpFl4AaABAg,Back tap is the most innovative feature Apple has come out with in the last 5 years
Ugx-Phki-U9UsYSsF9d4AaABAg,I'm actually a huge fan of the little colored dots to know when something is using my camera and mic
UgxeWpf6UbjMD6Ewte14AaABAg,"""So I've had this beta for about...




A day now""

Not gonna lie, you had me in the first half."
UgwTotei61XPS4lX7814AaABAg,"The ability to ignore a call without having to let it wait through is the most appreciated of all, you honestly have no clue"
UgyBPp1E_KClbqwrsr54AaABAg,To the person reading this I hope you become successful one day and have an amazing day I wish you the best and nothing but the best❤️❤️❤️
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AImzQQimm0,He could be another cameo for Google's maybe.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIyXuPwa2U,"""What is up guys, Google Assistant here."""
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIkcxad8_J,Either him or MrWhoseTheBoss. They both sound so soothing.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BWOvFBExxP,Devarshi Dalal ergojosh tho very soothing
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DpaLrcYbf4,Devarshi Dalal I agree 10 billion percent
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Jj2PjoZdQT, @devarshidalal3152  What about both?
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIkznTRIIK,Jerryrigeverything?
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DhjPO_Dhyl, @neonslayer8264   YESSSS
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DoRo8-by41,Neonslayer78 NO
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79E9c2Y1WB1j,Neonslayer78 yes
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIokDlJGwE,lmao
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AIpQKlouZC,Righttt
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AJ5DxBTmne,Lmaoo ohhh truueee 😀😂😂😂
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AJ29lfTvsv,yess
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BUiJyK-efI,Have chills
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79Brq79Jxj51,Mrwhostheboss and jerry rig everything as well
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79CkMu2_VX9k,Yes
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79CpkTxtxclr,Yes
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DTUug7CRnC,i change from 2.6 to 2.7 its soooo satisfying to watch lol
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DneuIF_tlo,no way marques hearted this comment
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79ECtIUbiXV_,i beg to differ
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79FCTyin_3pK,and if it was MICHAEL JACKSON'S voice 🤔🤔
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79AJ32qKzVmi,I need the caillu narrator
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BY64ZeTsfL,Google should do it.
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BZpQtsy7sx,Book audio matey
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79BwLLTpEemm,s i g n e d ✍️
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79ClgNuiURpF,"Nope, can’t think of anything else more worthy of being petitioned. Nope it’s getting a millionaire you tuber to be a phone assist voice"
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79CnQMQj2w1m,"What’s the watch MKBHD?
Marquess: “Tells Weather”
Thanks 
Marquess: catch you in the next one, Peace"
UgyaAHDgTpyEfLrHYqZ4AaABAg.9AIRBC3P_m79DgRLx9SbO0,Sign me up
